libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.4.0-1
libxkbcommon-x11 1.4.0-1
libxkbfile 1.1.0-2
libxml2 2.9.12-7
libxmu 1.1.3-2
libxnvctrl 510.54-1
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2266+eb6e7bb6-1
licenses 20220125-1
lilv 0.24.12-4
linux 5.16.9.arch1-1
linux-api-headers 5.16.8-1
linux-firmware 20220209.6342082-1
linux-firmware-whence 20220209.6342082-1
linux-headers 5.16.9.arch1-1
lld 13.0.1-1
llvm-libs 13.0.1-1
llvm11 11.1.0-6
llvm11-libs 11.1.0-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
log4cplus 2.0.7-1
lsb-release 1.4-18
lsof 4.94.0-1
lua52 5.2.4-5
lua53 5.3.6-1
lutris 0.5.9.1-4
lv2 1.18.2-1
ly 0.5.3-0
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
magma 2.6.1-5
mailcap 2.1.53-1
make 4.3-3
man-db 2.10.1-1
maven 3.8.4-1
mbedtls 2.28.0-1
md4c 0.4.8-1
mesa 21.3.6-1
mesa-utils 8.4.0-7
minecraft-launcher 928-1
minizip 1:1.2.11-5
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20210805-1
mono 6.12.0.122-1
mpfr 4.1.0.p13-2
mtdev 1.1.6-1
mtools 1:4.0.37-1
nanomsg 1.1.5-2
nccl 2.11.4-4
ncurses 6.3-2
neofetch 7.1.0-2
net-tools 2.10-1
nettle 3.7.3-1
networkmanager 1.34.0-1
ninja 1.10.2-1
